,Drug-Gene,Drug-Gene Cluster,Dependency Path,Dependency path Cluster
1041,(capecitabine/larc),2.0,"[prep_as, inhibitor, prep_of]",0.0
1042,(doxorubicin/xiap),0.0,"[prep_on, factor, appos]",0.0
1043,(rapamycin/ho-1),29.0,"[agent, required, nsubjpass]",37.0
1044,(succinylcholine/bche),6.0,"[nsubj, inhibited, dobj, activity, nn]",54.0
1045,(estradiol/lhrh),7.0,"[amod, genes, amod]",119.0
1046,(vigabatrin/swds),19.0,"[nsubj, inhibits, dobj, activation, amod]",101.0
1047,(mifepristone/gnrh),11.0,"[prep_in, cells, nn]",0.0
1048,(aldosterone/egfr),29.0,"[nsubj, antagonist, amod]",0.0
1049,(cyclosporine/lymphokine),12.0,"[prep_of, effects, dobj, investigated, prep_on, expression, prep_of]",23.0
1050,(hydrocortisone/tlr2),22.0,"[nsubj, enhanced, dobj, activity, amod]",71.0
1051,(arsenite/ap-1),13.0,"[nsubj, increases, dobj, mrna, nn]",0.0
1052,(fk506/icam-1),22.0,"[nn, induced, nsubj]",6.0
1053,(rimonabant/acat),22.0,"[nsubj, reduced, dobj, activity, amod]",71.0
1054,(nitroprusside/beta-galactosidase),10.0,"[amod, patients, appos]",0.0
1055,(il-11/interleukin-11),0.0,"[nsubj, downregulated, dobj, expression, nn]",26.0
1056,(tanespimycin/hsp90),7.0,"[nsubj, inhibited, dobj, mrna, nn]",0.0
1057,(hyaluronidase/beta-glucuronidase),16.0,"[nsubj, induces, acomp]",62.0
1058,(alefacept/lfa-3),27.0,"[appos, ligand, amod]",63.0
1059,(chlorpromazine/phospholipase),12.0,"[nsubj, interacts, prep_with]",22.0
1060,(melatonin/ml-1),5.0,"[prep_on, expression, prep_of]",0.0
1061,(carnitine/cact),20.0,"[nsubj, caused, prep_in]",0.0
1062,(imipramine/cyp2d6),17.0,"[amod, therapy, amod]",53.0
1063,(berberine/ap-1),17.0,"[nsubj, activate, dobj]",0.0
1064,(dexamethasone/osteocalcin),27.0,"[nsubj, increased, dobj, level, amod]",0.0
1065,(nitroprusside/cgrp),1.0,"[amod, production, nn]",90.0
1066,(loratadine/cyp2d6),17.0,"[partmod, stimulated, dobj, phosphorylation, prep_of]",103.0
1067,(resveratrol/il-18),0.0,"[nn, receptor, amod]",0.0
1068,(levodopa/comt),23.0,"[prep_on, mrna, amod]",30.0
1069,(dexamethasone/g-csf),18.0,"[appos, antagonist, prep_of, receptor, nn]",67.0
1070,(sn-38/udp-glucuronosyltransferase),9.0,"[prep_with, treatment, nsubj, increased, dobj, expression, prep_of]",30.0
1071,(rifampin/cyp3a),0.0,"[prep_to, involved, nsubjpass]",95.0
1072,(dexamethasone/rasd1),18.0,"[appos, agonist, nn]",0.0
1073,(sulindac/egr-1),13.0,"[appos, production, nn]",119.0
1074,(dydrogesterone/akr1c1),17.0,"[prep_of, effect, prep_on]",75.0
1075,(genistein/nf-kappab),23.0,"[nsubj, enhances, dobj, expression, amod]",8.0
1076,(pegaptanib/vegf),1.0,"[partmod, induced, dobj, expression, amod]",20.0
1077,(sildenafil/endothelin-1),0.0,"[nsubj, reduced, dobj, levels, amod]",16.0
1078,(calcitriol/cyp24),27.0,"[prep_by, inhibition, nn]",62.0
1079,(saha/waf1),5.0,"[prep_with, combining, dobj]",6.0
1080,(dhea/g6pd),1.0,"[nsubj, inhibited, acomp]",68.0
1081,(cangrelor/p2y12),0.0,"[amod, treatment, nsubj, decreased, dobj, levels, nn]",0.0
1082,(docetaxel/cyp3a),23.0,"[prep_on, synthesis, nn]",22.0
1083,(azelastine/il-1),0.0,"[prep_of, effects, dobj, investigated, prepc_on]",14.0
1084,(fenofibrate/statin),18.0,"[nn, alpha, dep]",0.0
1085,(haloperidol/alpha-msh),19.0,"[appos, probe, amod]",37.0
1086,(cephalexin/pept1),15.0,"[prep_for, ratio, appos]",0.0
1087,(il-2/ifn-gamma),0.0,"[nsubj, caused, prep_in, activity, nn]",35.0
1088,(estradiol/ho-1),4.0,"[amod, treatment, prep_with]",59.0
1089,(cisplatin/mkp-1),17.0,"[dobj, compared, prep_with]",104.0
1090,(ara-c/p-gp),9.0,"[nsubj, alter, dobj, expression, amod]",26.0
1091,(trifluoperazine/mcat),3.0,"[prep_to, sensitive, nsubj, cells, amod]",43.0
1092,(phenytoin/cyp3a4),5.0,"[nsubj, activated, acomp]",68.0
1093,(gm-csf/stat5a),10.0,"[nsubj, blocked, prep_to]",61.0
1094,(amd3100/g-csf),18.0,"[appos, factor, appos]",0.0
1095,(genistein/caspase-3),21.0,"[xsubj, expression, amod]",0.0
1096,(clotrimazole/cyp3a),28.0,"[appos, viii, appos]",37.0
1097,(minocycline/hmgb1),5.0,"[prep_on, expression, nn]",113.0
1098,(omeprazole/cyp3a4),0.0,"[nn, expression, amod]",26.0
1099,(metformin/stat3),23.0,"[agent, inhibited, nsubjpass, activity, prep_of]",99.0
1100,(pioglitazone/enos),7.0,"[prep_by, induction, prep_of]",14.0
1101,(metformin/glut1),5.0,"[amod, channels, appos]",25.0
1102,(pazopanib/vegf),18.0,"[prep_of, administration, nsubj, increased, dobj]",118.0
1103,(il-2/m-csf),18.0,"[prep_by, production, amod]",118.0
1104,(vanillin/nf-kappab),22.0,"[nn, receptor, nn]",0.0
1105,(aldosterone/endothelin-1),2.0,"[appos, analog, appos]",0.0
1106,(resveratrol/at1r),1.0,"[prep_in, management, prep_of]",11.0
1107,(cisapride/cyp3a4),14.0,"[prep_of, use, appos]",95.0
1108,(indomethacin/5-lipoxygenase),12.0,"[prep_of, metabolism, prep_in]",0.0
1109,(cilastatin/dehydropeptidase-i),28.0,"[amod, metabolism, appos]",74.0
1110,(dtic/cyp1a1),17.0,"[prep_of, effect, dobj, examined, prep_on]",42.0
1111,(genistein/il-1),20.0,"[agent, induced, partmod, expression, amod]",100.0
1112,(cilostazol/mcp-1),3.0,"[nsubj, increased, dobj, levels, prep_of]",109.0
1113,(mitoxantrone/g-csf),18.0,"[nsubj, increased, prep_to]",34.0
1114,(theophylline/ml-1),9.0,"[amod, activation, nn]",111.0
1115,(genistein/chk2),10.0,"[amod, selective, dep]",0.0
1116,(cisplatin/octn2),9.0,"[nsubj, antagonist, appos]",78.0
1117,(celecoxib/vegf-c),22.0,"[prep_with, mice, amod]",106.0
1118,(fluconazole/ugt2b7),28.0,"[xsubj, increase, dobj, activity, amod]",74.0
1119,(metformin/igf-i),2.0,"[nsubj, decreased, dobj, secretion, nn]",56.0
1120,(lidocaine/cyp3a4),22.0,"[nn, knockdown, prep_of]",0.0
1121,(rapamycin/foxo1),29.0,"[prep_of, concentrations, appos]",0.0
1122,(resveratrol/pi3k),12.0,"[prep_including, inhibitors, amod]",14.0
1123,(fk506/hsp70),25.0,"[appos, inhibitor, num]",14.0
1124,(rimonabant/adiponectin),27.0,"[prep_like, inhibitors, nn]",0.0
1125,(forskolin/nnos),8.0,"[pobj, to, dep, to, pobj]",0.0
1126,(cisplatin/plaa),13.0,"[nsubj, interact, prep_with]",0.0
1127,(metformin/glp-1),27.0,"[prep_of, effect, dobj, investigated, prep_on, expression, prep_of]",0.0
1128,(arsenite/cgl-2),7.0,"[dobj, mrna, nn]",72.0
1129,(estradiol/kallikrein),21.0,"[nsubj, stimulate, dobj, expression, amod]",56.0
1130,(trabectedin/p-gp),15.0,"[nn, receptor, dep]",4.0
1131,(ceftriaxone/glt-1),25.0,"[nsubj, increases, dobj, levels, amod]",15.0
1132,(quinidine/cyp2d6),28.0,"[nsubj, inhibits, dobj, activation, nn]",123.0
1133,(pyridoxal/gad65),9.0,"[agent, inhibition, partmod]",40.0
1134,(fulvestrant/egfr),12.0,"[prep_of, administration, appos, inhibitor, prep_of]",56.0
1135,(sorafenib/flt3),28.0,"[prep_by, phosphorylation, nn]",16.0
1136,(ziprasidone/bdnf),18.0,"[nsubj, influence, dobj, expression, nn]",48.0
1137,(sorafenib/p-gp),15.0,"[prep_with, therapy, nn]",36.0
1138,(estradiol/ghrh),11.0,"[nsubj, inhibitor, prep_for]",100.0
1139,(methylphenidate/darpp-32),9.0,"[nsubj, inhibited, dobj, activation, prep_of]",89.0
1140,(ara-c/ifn-alpha),2.0,"[prep_by, inhibition, prep_of]",0.0
1141,(taurine/lox-1),8.0,"[prep_on, activity, amod]",0.0
1142,(daunorubicin/p-gp),9.0,"[nsubj, regulates, dobj, expression, amod]",8.0
1143,(fenofibrate/ppar),7.0,"[partmod, induced, dobj, expression, nn]",95.0
1144,(permethrin/nets),17.0,"[nsubj, suppressed, dobj, production, amod]",86.0
1145,(lapatinib/cyp3a4),1.0,"[nsubj, inhibited, xcomp]",10.0
1146,(captopril/mmp-9),0.0,"[amod, kinase, nn]",27.0
1147,(dexamethasone/myostatin),29.0,"[npadvmod, inhibitors, num]",93.0
1148,(vasopressin/hsp27),29.0,"[amod, administration, appos]",98.0
1149,(captopril/mmp-2),23.0,"[dep, inhibitors, amod]",72.0
1150,(dhea/sulfotransferase),0.0,"[amod, a, amod]",111.0
1151,(calcitriol/il-10),5.0,"[agent, induced, nsubjpass, mrna, nn]",0.0
1152,(amitriptyline/eaat3),23.0,"[amod, production, amod]",91.0
1153,(staurosporine/pkc-zeta),29.0,"[pobj, by, dep, by, pobj]",58.0
1154,(piperazine/5-ht1a),16.0,"[nn, inhibition, prep_of]",0.0
1155,(piperazine/5-ht1b),16.0,"[nsubj, reduced, prep_to]",101.0
1156,(simvastatin/niddm),2.0,"[amod, agonist, appos]",0.0
1157,(fk506/hsp56),6.0,"[amod, activated, nsubj]",103.0
1158,(rapamycin/foxp3),6.0,"[nsubj, inhibitor, amod]",66.0
1159,(melatonin/cyp1a2),28.0,"[prep_with, treatment, nsubj, increased, dobj, expression, nn]",23.0
1160,(fentanyl/cyp3a4),23.0,"[nn, levels, nn]",17.0
1161,(warfarin/vkor),1.0,"[agent, reversed, nsubjpass, effect, prep_of]",79.0
1162,(norepinephrine/inositol),25.0,"[appos, a, nn]",22.0
1163,(chloramphenicol/beta-actin),5.0,"[nsubj, substrate, amod]",60.0
1164,(gm-csf/mcp-1),22.0,"[amod, block, prep_of]",5.0
1165,(sn-38/beta-glucuronidase),9.0,"[nsubj, inhibits, dobj, activity, prep_of]",0.0
1166,(carvedilol/cx43),22.0,"[nn, study, appos]",13.0
1167,(fasudil/enos),29.0,"[nsubj, reduced, dobj, activity, prep_of]",10.0
1168,(gefitinib/pten),7.0,"[prep_with, activity, amod]",60.0
1169,(citalopram/cyp2d6),23.0,"[nsubj, upregulated, dobj, expression, nn]",14.0
1170,(gemcitabine/hsp27),24.0,"[nn, receptor, nsubj]",35.0
1171,(mexiletine/lqt3),0.0,"[appos, genes, amod]",82.0
1172,(verapamil/mrp1),28.0,"[prep_to, associated, nsubjpass, expression, prep_of]",14.0
1173,(il-2/timp-1),15.0,"[prep_on, activation, amod]",77.0
1174,(ndga/indo),12.0,"[nn, therapy, nn]",5.0
1175,(tacrolimus/cyp3a4),17.0,"[nsubj, inhibit, dobj, expression, nn]",39.0
1176,(tacrolimus/cyp3a5),17.0,"[prep_by, activity, nn]",97.0
1177,(memantine/nachr),16.0,"[nn, kinase, appos]",97.0
1178,(eletriptan/5-ht1b),16.0,"[nn, system, nn]",0.0
1179,(norepinephrine/rbp4),8.0,"[amod, expression, prep_of]",0.0
1180,(rapamycin/pai-1),3.0,"[nsubj, attenuated, dobj]",0.0
1181,(rapamycin/pdk1),27.0,"[nsubj, increases, dobj, levels, nn]",99.0
1182,(cisplatin/nat1),24.0,"[prep_to, resistant, nsubj]",22.0
1183,(fenfluramine/5-ht2c),16.0,"[nsubj, inhibited, dobj, autophosphorylation, prep_of]",16.0
1184,(thyroxine/calcitonin),16.0,"[prep_with, factor, appos]",101.0
1185,(tamoxifen/artn),13.0,"[dep, protein, appos]",0.0
1186,(cetuximab/kras),17.0,"[agent, inhibited, rcmod]",103.0
1187,(phencyclidine/nachr),20.0,"[prep_by, activity, amod]",61.0
1188,(propofol/p2x7),23.0,"[amod, activities, amod]",5.0
1189,(temsirolimus/vegf),2.0,"[appos, protein, nn]",58.0
1190,(noradrenaline/gnrh),20.0,"[nsubj, increases, dobj, expression, nn]",0.0
1191,(venlafaxine/bdnf),25.0,"[nsubj, alter, dobj, expression, nn]",28.0
1192,(aldosterone/igf-i),21.0,"[appos, factor, amod]",90.0
1193,(doxorubicin/skp2),22.0,"[amod, agonists, nn]",68.0
1194,(corticosteroids/hips),24.0,"[nn, neurofilament, appos]",0.0
1195,(l-citrulline/ddah),17.0,"[prep_of, ratio, appos]",100.0
1196,(pitavastatin/abca1),27.0,"[nsubj, induced, dobj, degradation, prep_of]",100.0
1197,(doxorubicin/cox-2),0.0,"[xsubj, inhibit, dobj, activity, nn]",42.0
1198,(cyclophosphamide/cholinesterase),13.0,"[nn, inhibitors, nn]",95.0
1199,(azithromycin/copd),2.0,"[amod, induction, prep_of]",0.0
1200,(theophylline/cyp1a2),15.0,"[nsubj, reduces, dobj, expression, nn]",0.0
1201,(aldosterone/cox-2),4.0,"[nsubj, increased, dobj, secretion, nn]",109.0
1202,(ramipril/aire),5.0,"[nsubj, induces, dobj, activation, nn]",0.0
1203,(curcumin/ppar-gamma),25.0,"[appos, antagonist, prep_of]",48.0
1204,(aldosterone/romk),5.0,"[nsubj, inhibited, dobj, phosphorylation, prep_of]",67.0
1205,(tadalafil/pde5),1.0,"[nsubj, induced, dobj, activation, amod]",0.0
1206,(genistein/her2),23.0,"[rcmod, inhibitor, nn]",0.0
1207,(gemfibrozil/pai-1),1.0,"[nn, inhibitor, nn]",95.0
1208,(indomethacin/cgrp),11.0,"[prep_of, metabolism, prep_for, responsible, amod, enzyme, nsubj]",95.0
1209,(simvastatin/cyp3a),12.0,"[amod, transporter, appos]",0.0
1210,(indomethacin/bfgf),0.0,"[appos, ligand, prep_of]",0.0
1211,(chloramphenicol/pomc),9.0,"[nn, receptor, appos]",0.0
1212,(troglitazone/ppar),7.0,"[partmod, stimulated, dobj, activity, amod]",15.0
1213,(leuprolide/gnrh),0.0,"[nsubj, inhibited, dobj, induction, nn]",49.0
1214,(acetazolamide/copd),6.0,"[nn, acetate, appos, agonist, nn]",0.0
1215,(hyaluronan/stabilin-2),20.0,"[prep_to, cells, amod]",48.0
1216,(dexamethasone/5-lipoxygenase),29.0,"[nsubj, induced, dobj, mrna, nn]",2.0
1217,(n-acetylcysteine/cox-2),0.0,"[xsubj, inhibit, dobj, expression, nn]",0.0
1218,(atra/pi3k),17.0,"[nsubj, inhibitors, nn]",49.0
1219,(fluorescein/srbc),17.0,"[prep_to, response, nn]",37.0
1220,(flutamide/aromatase),12.0,"[nn, subunit, nn]",63.0
1221,(cci-779/mtor),1.0,"[nsubj, inhibits, dobj, activation, prep_of]",76.0
1222,(ranibizumab/vegf),18.0,"[nsubj, antibody, partmod, targeting, dobj]",48.0
1223,(etodolac/cox-2),28.0,"[nsubj, substrate, prep_of]",0.0
1224,(cyclophosphamide/etanercept),2.0,"[nsubj, induces, dobj]",56.0
1225,(ornithine/inos),6.0,"[appos, inhibitor, appos]",90.0
1226,(beta-estradiol/gnrh),9.0,"[xsubj, metabolized, agent]",101.0
1227,(hyaluronan/mmp-13),4.0,"[nsubj, has, dobj, affinity, prep_for]",63.0
1228,(oxytocin/ghrelin),9.0,"[nsubj, antagonized, dobj, effect, prep_of]",103.0
1229,(atra/irf-1),13.0,"[agent, activated, nsubjpass]",72.0
1230,(forskolin/vegf),3.0,"[nn, synthase, appos]",106.0
1231,(cyclosporine/rapa),19.0,"[nsubj, reduce, dobj]",0.0
1232,(etoposide/xiap),24.0,,
1233,(prasugrel/p2y12),0.0,,
1234,(ezetimibe/niemann-pick),28.0,,
1235,(docetaxel/dlts),9.0,,
1236,(forskolin/egr-1),9.0,,
1237,(bacitracin/lhrh),1.0,,
1238,(nicardipine/cyp3a),17.0,,
1239,(tacrolimus/ifn-gamma),24.0,,
1240,(vasopressin/v1ar),20.0,,
1241,(pioglitazone/ctgf),23.0,,
1242,(metyrapone/cort),12.0,,
1243,(norepinephrine/maoa),26.0,,
1244,(atra/cyp26),27.0,,
1245,(imatinib/bcrp),12.0,,
1246,(cisplatin/ikappabalpha),2.0,,
1247,(glutaraldehyde/srbc),17.0,,
1248,(atra/fr-beta),22.0,,
1249,(cisplatin/napa),24.0,,
1250,(geldanamycin/grp94),7.0,,
1251,(moxifloxacin/herg),5.0,,
1252,(pioglitazone/ppargamma),0.0,,
1253,(sertindole/5-ht2c),24.0,,
1254,(rapamycin/nf-kappab),23.0,,
1255,(propofol/cyp3a4),1.0,,
1256,(cerivastatin/cyp2c8),17.0,,
1257,(novobiocin/tfiiia),28.0,,
1258,(n-hydroxyurea/5-lipoxygenase),12.0,,
1259,(isoproterenol/reticulum),21.0,,
1260,(hydrazide/cftr),28.0,,
1261,(iloprost/ctgf),13.0,,
1262,(curcumin/beta-catenin),27.0,,
1263,(pioglitazone/mitoneet),10.0,,
1264,(levonorgestrel/shbg),18.0,,
1265,(corticosteroids/cox-2),13.0,,
1266,(estradiol/il-1),3.0,,
1267,(piperazine/5-ht2c),16.0,,
1268,(cyclophosphamide/g-csf),18.0,,
1269,(simvastatin/rac1),29.0,,
1270,(dextran/icam-1),26.0,,
1271,(doxorubicin/p300),24.0,,
1272,(debrisoquine/cyp2d),17.0,,
1273,(citalopram/bdnf),5.0,,
1274,(sevoflurane/hsp70),24.0,,
1275,(melatonin/inos),1.0,,
1276,(forskolin/pomc),13.0,,
1277,(estradiol/caspase-3),21.0,,
1278,(imatinib/cox-2),13.0,,
1279,(ndga/5-lo),25.0,,
1280,(chlorzoxazone/cyp2e1),15.0,,
1281,(norepinephrine/endothelin-1),18.0,,
1282,(ridaforolimus/mtor),1.0,,
1283,(nitroprusside/edrf),18.0,,
1284,(dexamethasone/edn1),4.0,,
1285,(leflunomide/nf-kappab),23.0,,
1286,(irinotecan/vegf),18.0,,
1287,(trastuzumab/erbb2),7.0,,
1288,(tamoxifen/acat),28.0,,
1289,(erythromycin/cyp3a),17.0,,
1290,(dexamethasone/ugt1a1),25.0,,
1291,(asparaginase/eif2),10.0,,
1292,(irinotecan/dlts),24.0,,
1293,(melatonin/pacap),26.0,,
1294,(verapamil/cyp3a),23.0,,
1295,(fluoxetine/5-htt),28.0,,
1296,(olaparib/parp),28.0,,
1297,(estradiol/p-gp),4.0,,
1298,(pge2/mcp-1),18.0,,
1299,(sulphasalazine/sasp),11.0,,
1300,(cilostazol/ampk),27.0,,
1301,(pargyline/hnmt),13.0,,
1302,(venlafaxine/cyp2d6),17.0,,
1303,(indinavir/cyp3a),23.0,,
1304,(estradiol/nf-kappab),1.0,,
1305,(thiotepa/cyp2b6),23.0,,
1306,(calcitriol/calcitonin),16.0,,
1307,(auranofin/tlr4),21.0,,
1308,(clopidogrel/cyp3a4),17.0,,
1309,(atorvastatin/e-selectin),22.0,,
1310,(dexamethasone/ghrh),22.0,,
1311,(nifedipine/nadph),22.0,,
1312,(pertuzumab/her2),0.0,,
1313,(pertuzumab/her3),27.0,,
1314,(nilotinib/pdgfr),21.0,,
1315,(resveratrol/nag-1),4.0,,
1316,(sorafenib/ugt1a1),28.0,,
1317,(fluconazole/cyp2c9),12.0,,
1318,(sparteine/cyp2d6),22.0,,
1319,(danazol/gnrh),16.0,,
1320,(diclofenac/ho-1),27.0,,
1321,(colchicine/cyp3a4),15.0,,
1322,(glimepiride/enos),9.0,,
1323,(dexamethasone/pai-1),0.0,,
1324,(sibutramine/cyp2b6),17.0,,
1325,(dexamethasone/kallikrein),9.0,,
1326,(lopinavir/cyp3a4),17.0,,
1327,(rosiglitazone/ho-1),18.0,,
1328,(sargramostim/gm-csf),18.0,,
1329,(gm-csf/sargramostim),18.0,,
1330,(panitumumab/egfr),7.0,,
1331,(gm-csf/bcl-2),3.0,,
1332,(fluvastatin/cyp2c9),17.0,,
1333,(cisplatin/bcl-xl),25.0,,
1334,(triazolam/cyp3a4),15.0,,
1335,(il-11/il-17f),13.0,,
1336,(tacrine/cyp1a2),15.0,,
1337,(glutaraldehyde/reticulum),22.0,,
1338,(genistein/bfgf),3.0,,
1339,(staurosporine/caspase-9),7.0,,
1340,(quinacrine/il-1),20.0,,
1341,(atra/igfbp-3),15.0,,
1342,(cisplatin/abcc2),24.0,,
1343,(tamoxifen/cox-2),1.0,,
1344,(vinorelbine/g-csf),18.0,,
1345,(oxaliplatin/chk2),17.0,,
1346,(vasopressin/gpcr),20.0,,
1347,(bepridil/calmodulin),3.0,,
1348,(chloramphenicol/cyp1a1),13.0,,
1349,(sulfinpyrazone/mrp2),17.0,,
1350,(genistein/ap-1),4.0,,
1351,(genistein/grp78),26.0,,
1352,(indomethacin/15-pgdh),5.0,,
1353,(dhea/g6pase),1.0,,
1354,(resveratrol/gli1),27.0,,
1355,(docetaxel/cyclooxygenase-2),23.0,,
1356,(genistein/sp-a),4.0,,
1357,(apomorphine/gastrin),18.0,,
1358,(tamoxifen/igf-i),21.0,,
1359,(cyclophosphamide/ifn-alpha),18.0,,
1360,(estradiol/e2dh),20.0,,
1361,(aldosterone/nhe-1),9.0,,
1362,(retigabine/kcnq2),10.0,,
1363,(rofecoxib/cox2),28.0,,
1364,(simvastatin/cox-2),25.0,,
1365,(arsenite/nf-kappab),23.0,,
1366,(cephalexin/hpept1),15.0,,
1367,(hpth/pth1r),0.0,,
1368,(resveratrol/enos),0.0,,
1369,(cisplatin/nox3),24.0,,
1370,(pilocarpine/cyp2a6),17.0,,
1371,(dexamethasone/cd163),13.0,,
1372,(ketorolac/cox-2),28.0,,
1373,(gm-csf/survivin),13.0,,
1374,(ketorolac/cox-1),23.0,,
1375,(theophylline/gm-csf),11.0,,
1376,(gefitinib/abcg2),17.0,,
1377,(melatonin/nnos),23.0,,
1378,(simvastatin/enos),29.0,,
1379,(resveratrol/cox-1),0.0,,
1380,(resveratrol/cox-2),22.0,,
1381,(temozolomide/nf-kappab),20.0,,
1382,(cisplatin/pc-3),7.0,,
1383,(nutlin-3/hdm2),0.0,,
1384,(benzbromarone/cyp2c9),28.0,,
1385,(il-11/survivin),27.0,,
1386,(theophylline/il-10),27.0,,
1387,(nifedipine/mcp-1),17.0,,
1388,(il-2/b7-1),0.0,,
1389,(oxycodone/herg),9.0,,
1390,(lovastatin/lfa-1),27.0,,
1391,(estradiol/tgf-alpha),22.0,,
1392,(maraviroc/cyp3a4),17.0,,
1393,(fluvoxamine/cyp2c19),28.0,,
1394,(acarbose/maltase-glucoamylase),28.0,,
1395,(clonidine/beta-endorphin),1.0,,
1396,(bosentan/endothelin-1),0.0,,
1397,(beta-glucocerebrosidase/limp-2),6.0,,
1398,(berberine/nf-kappab),23.0,,
1399,(loratadine/cyp3a4),5.0,,
1400,(ritonavir/adiponectin),1.0,,
1401,(rituximab/gm-csf),18.0,,
1402,(mucolytics/copd),6.0,,
1403,(rivaroxaban/p-gp),15.0,,
1404,(ciclesonide/mcp-1),1.0,,
1405,(curcumin/hsp70),8.0,,
1406,(bortezomib/ubiquitin),12.0,,
1407,(cisplatin/hsp27),1.0,,
1408,(cisplatin/hsp25),0.0,,
1409,(corticosteroids/beta2),7.0,,
1410,(nefazodone/5-ht2a),27.0,,
1411,(metformin/niddm),2.0,,
1412,(chlorpromazine/pla2),28.0,,
1413,(dexamethasone/l-selectin),1.0,,
1414,(metformin/vaspin),0.0,,
1415,(buprenorphine/cyp3a),1.0,,
1416,(cyclosporine/p170),28.0,,
1417,(l-ser/3pgdh),20.0,,
1418,(irinotecan/egfr),29.0,,
1419,(genistein/fmlp),21.0,,
1420,(analgesics/p-gp),15.0,,
1421,(nutlin-3/mdm2),0.0,,
1422,(tiagabine/gat1),28.0,,
1423,(rapamycin/mdm2),21.0,,
1424,(oxaliplatin/yb-1),9.0,,
1425,(inulin/cpah),24.0,,
1426,(doxycycline/beta-galactosidase),12.0,,
1427,(cyclosporine/cyp3a),15.0,,
1428,(abciximab/alteplase),2.0,,
1429,(doxycycline/sp-b),24.0,,
1430,(il-2/icam-1),8.0,,
1431,(melatonin/aa-nat),20.0,,
1432,(phenytoin/cyp2c9),15.0,,
1433,(montelukast/5-lipoxygenase),28.0,,
1434,(haloperidol/herg),24.0,,
1435,(clotrimazole/ikca1),20.0,,
1436,(fk506/fk506-binding),27.0,,
1437,(theophylline/calcitonin),27.0,,
1438,(ketamine/ml-1),5.0,,
1439,(latanoprost/mmp-3),0.0,,
1440,(sunitinib/ifn-alpha),2.0,,
1441,(forskolin/ctgf),24.0,,
1442,(bevacizumab/ifn-alpha),2.0,,
1443,(neomycin/phospholipase),0.0,,
1444,(infliximab/etanercept),2.0,,
1445,(vasopressin/aqp2),18.0,,
1446,(nadh/methemoglobin),0.0,,
1447,(deferoxamine/hif-1),0.0,,
1448,(estrone/hsd17b1),5.0,,
1449,(atra/rar-beta),9.0,,
1450,(pioglitazone/adiponectin),0.0,,
1451,(voriconazole/abpa),2.0,,
1452,(pranlukast/leukotriene),0.0,,
1453,(telithromycin/mrp2),7.0,,
1454,(forskolin/inos),23.0,,
1455,(bosentan/bsep),28.0,,
1456,(aprotinin/thrombomodulin),3.0,,
1457,(curcumin/blys),3.0,,
1458,(paclitaxel/bcl-2),4.0,,
1459,(forskolin/pacap),5.0,,
1460,(pge2/bcl-2),23.0,,
1461,(aminopyrine/demethylase),0.0,,
1462,(sulindac/cox-2),28.0,,
1463,(indomethacin/ho-1),3.0,,
1464,(sulindac/cox-1),28.0,,
1465,(tamoxifen/ki-67),4.0,,
1466,(ornithine/ornt1),26.0,,
1467,(docetaxel/cyp1b1),17.0,,
1468,(naloxone/met-enkephalin),0.0,,
1469,(l-dopa/fosb),4.0,,
1470,(daunorubicin/mdr1),19.0,,
1471,(pioglitazone/vegf),5.0,,
1472,(leuprorelin/gnrh),29.0,,
1473,(bleomycin/bcl-2),25.0,,
1474,(chloramphenicol/inos),14.0,,
1475,(nifedipine/mnsod),4.0,,
1476,(papain/kininogen),28.0,,
1477,(geldanamycin/her2),17.0,,
1478,(melatonin/mt-1),0.0,,
1479,(abatacept/ctla4),16.0,,
1480,(abciximab/reteplase),2.0,,
1481,(staurosporine/chk1),7.0,,
1482,(dexamethasone/caspase-3),23.0,,
1483,(risperidone/htr2c),23.0,,
1484,(troglitazone/mcp-1),19.0,,
1485,(staurosporine/calmodulin),0.0,,
1486,(spermine/calmodulin),24.0,,
1487,(acarbose/iddm),2.0,,
1488,(g-csf/ifn-gamma),0.0,,
1489,(atra/cox-1),24.0,,
1490,(troglitazone/kip1),21.0,,
1491,(atra/cox-2),0.0,,
1492,(tetrahydrobiopterin/nadph),8.0,,
1493,(rasagiline/mao-b),28.0,,
1494,(dexamethasone/il-5),0.0,,
1495,(staurosporine/caspase-3),7.0,,
1496,(trastuzumab/aromatase),12.0,,
1497,(rapamycin/fkbp-12),7.0,,
1498,(dexamethasone/il-1),1.0,,
1499,(iloprost/vegf),0.0,,
1500,(zileuton/5-lo),28.0,,
1501,(carboplatin/tace),6.0,,
1502,(docetaxel/aipc),2.0,,
1503,(sulfamethazine/nat2),15.0,,
1504,(melatonin/vegf),4.0,,
1505,(losartan/fmlp),28.0,,
1506,(itraconazole/p-gp),28.0,,
1507,(dicoumarol/nqo1),12.0,,
1508,(norepinephrine/orexin),8.0,,
1509,(fibrates/ppar-alpha),7.0,,
1510,(amiloride/nhe1),1.0,,
1511,(protamine/prm1),20.0,,
1512,(protamine/prm2),20.0,,
1513,(enalapril/nf-kappab),21.0,,
1514,(doxorubicin/mrp1),8.0,,
1515,(dexamethasone/nf-kappab),23.0,,
1516,(g-csf/m-csf),0.0,,
1517,(atra/ml-1),0.0,,
1518,(sitagliptin/dpp4),28.0,,
1519,(estrone/sulfotransferase),0.0,,
1520,(amiloride/nhe3),28.0,,
