,drug-gene,dependency path,Drug-Gene Pair Cluster,Dependency Path Cluster
12380,(fluconazole/demethylase),,11.0,
12381,(tetrahydrobiopterin/calmodulin),,10.0,
12382,(repaglinide/cyp2c8),,19.0,
12383,(ornithine/azin1),,22.0,
12384,(pitavastatin/inos),,18.0,
12385,(baclofen/lhrh),,23.0,
12386,(tamoxifen/shbg),,0.0,
12387,(atorvastatin/rac1),,8.0,
12388,(il-2/socs-3),,27.0,
12389,(udenafil/cyp3a4),,13.0,
12390,(methotrexate/p-gp),,18.0,
12391,(tamoxifen/nppb),,0.0,
12392,(salmeterol/beta2ar),,10.0,
12393,(nifedipine/nicotinamide),,14.0,
12394,(lovastatin/coq9),,7.0,
12395,(gefitinib/egfr),,3.0,
12396,(imatinib/smad1),,22.0,
12397,(buprenorphine/cyp3a4),,21.0,
12398,(methylprednisolone/stat1),,1.0,
12399,(gm-csf/erk2),,17.0,
12400,(doxorubicin/siz2),,23.0,
12401,(sildenafil/cyp3a4),,2.0,
12402,(oxytocin/bnpi),,14.0,
12403,(colchicine/pi3k),,22.0,
12404,(propranolol/bfgf),,23.0,
12405,(vasopressin/adrenocorticotropin),,7.0,
12406,(propranolol/cgrp),,25.0,
12407,(bumetanide/ml-1),,23.0,
12408,(midodrine/alpha1),,15.0,
12409,(tamoxifen/phospholipase),,28.0,
12410,(nifedipine/calmodulin),,22.0,
12411,(indomethacin/catenin),,29.0,
12412,(fenofibrate/nf-kappab),,28.0,
12413,(abarelix/gnrh),,22.0,
12414,(cisplatin/scc1),,2.0,
12415,(reboxetine/creb),,14.0,
12416,(probucol/hdl2),,23.0,
12417,(cyclosporine/ifn-gamma),,25.0,
12418,(menadione/hcbr3),,14.0,
12419,(mk-571/leukotriene),,6.0,
12420,(cisplatin/gstp1),,18.0,
12421,(beta-estradiol/kallikrein),,23.0,
12422,(nitrazepam/nadph),,18.0,
12423,(levetiracetam/sv2a),,22.0,
12424,(domperidone/gastrin),,23.0,
12425,(vasotocin/gnrh),,0.0,
12426,(prednisolone/il-18),,14.0,
12427,(dexamethasone/per1),,23.0,
12428,(haloperidol/pde1b),,18.0,
12429,(carvedilol/herg),,2.0,
12430,(ebselen/gas6),,2.0,
12431,(cetuximab/pres),,13.0,
12432,(prednisolone/il-10),,25.0,
12433,(l-ornithine/ml-1),,14.0,
12434,(gp120/pi3-kinase),,14.0,
12435,(gm-csf/hnudc),,2.0,
12436,(sorafenib/kras),,5.0,
12437,(digoxin/p-gp),,21.0,
12438,(rapamycin/hgps),,0.0,
12439,(mannitol/ml-1),,14.0,
12440,(cyclosporine/p2y2),,14.0,
12441,(capsaicin/vrl-1),,24.0,
12442,(nitroprusside/mcp-1),,8.0,
12443,(dexamethasone/dheas),,23.0,
12444,(geldanamycin/cdc37),,15.0,
12445,(isoproterenol/egr-3),,8.0,
12446,(formoterol/eotaxin-1),,25.0,
12447,(mephenytoin/agas),,14.0,
12448,(aluminium/spin90),,23.0,
12449,(glibenclamide/abca1),,14.0,
12450,(leflunomide/nf-atc1),,18.0,
12451,(d-penicillamine/fmlp),,18.0,
12452,(pge2/tgf-alpha),,4.0,
12453,(daunorubicin/cftr),,23.0,
12454,(hyaluronan/muc5ac),,8.0,
12455,(su11248/csf-1r),,3.0,
12456,(n-acetylcysteine/mkp-1),,14.0,
12457,(dhea/il-10),,26.0,
12458,(estradiol/g6pdh),,24.0,
12459,(glimepride/ppargamma),,15.0,
12460,(verapamil/sacs),,12.0,
12461,(paclitaxel/erk2),,14.0,
12462,(guanidine/alpha-lactalbumin),,2.0,
12463,(dexamethasone/cd49b),,23.0,
12464,(melphalan/gdf15),,14.0,
12465,(repaglinide/hpept1),,12.0,
12466,(zonisamide/nadph),,14.0,
12467,(dexamethasone/cd49a),,29.0,
12468,(pergolide/nf-kappab),,23.0,
12469,(glucosamine/sen1),,18.0,
12470,(prednisone/cox-2),,6.0,
12471,(gemcitabine/hpr1),,23.0,
12472,(telmisartan/ppar),,18.0,
12473,(irinotecan/parp),,2.0,
12474,(dhea/pgls),,2.0,
12475,(imatinib/cyp3a4),,9.0,
12476,(fenoldopam/pld2),,8.0,
12477,(metoclopramide/gnrh),,0.0,
12478,(colchicine/prolidase),,15.0,
12479,(trastuzumab/erbb-2),,13.0,
12480,(sorafenib/survivin),,2.0,
12481,(raloxifene/caspase-3),,20.0,
12482,(exemestane/aromatase),,9.0,
12483,(atorvastatin/cyp3a),,19.0,
12484,(carbamazepine/hdac),,15.0,
12485,(abacavir/mac-1),,8.0,
12486,(gentamicin/nachr),,11.0,
12487,(melatonin/mmp-3),,18.0,
12488,(il-2/ldlr),,14.0,
12489,(doxycycline/cx43),,7.0,
12490,(melatonin/mmp-9),,2.0,
12491,(bremelanotide/alpha-msh),,0.0,
12492,(suramin/mdr1),,23.0,
12493,(fasudil/smad4),,14.0,
12494,(curcumin/inos),,0.0,
12495,(gefitinib/mucin),,25.0,
12496,(dexamethasone/24p3),,1.0,
12497,(hydrocortisone/lactase),,13.0,
12498,(doxorubicin/abcb1),,2.0,
12499,(oxytetracycline/ovis),,6.0,
12500,(papain/cres),,18.0,
12501,(prostacyclin/vasp),,17.0,
12502,(ritonavir/ppar-gamma),,29.0,
12503,(5-asa/ho-1),,4.0,
12504,(montelukast/leukotriene),,3.0,
12505,(mibefradil/cyp3a4),,18.0,
12506,(doxorubicin/top2a),,11.0,
12507,(naproxen/u-pa),,0.0,
12508,(meloxicam/cyclooxygenase-1),,12.0,
12509,(norepinephrine/mkp-1),,2.0,
12510,(forskolin/creb),,0.0,
12511,(cephalexin/clpx),,24.0,
12512,(atorvastatin/nnos),,18.0,
12513,(melatonin/gastrin),,14.0,
12514,(meloxicam/cyclooxygenase-2),,3.0,
12515,(lindane/aromatase),,14.0,
12516,(praziquantel/cav2),,2.0,
12517,(nadh/ndh2),,27.0,
12518,(etanercept/adiponectin),,0.0,
12519,(methimazole/nf-kappab),,23.0,
12520,(genistein/rhob),,2.0,
12521,(olanzapine/adiponectin),,23.0,
12522,(fasudil/mmp-2),,2.0,
12523,(sildenafil/mmp-2),,28.0,
12524,(arsenite/jak-2),,23.0,
12525,(beta-estradiol/lhrh),,26.0,
12526,(rapamycin/folliculin),,7.0,
12527,(pge2/g-csf),,29.0,
12528,(fk506/ryr2),,8.0,
12529,(azithromycin/nf-kappab),,18.0,
12530,(mitomycin/ubr2),,23.0,
12531,(estradiol/gfap),,0.0,
12532,(olanzapine/rantes),,26.0,
12533,(arsenite/mthfr),,23.0,
12534,(anti-il-2/gm-csf),,26.0,
12535,(tenofovir/ccl3),,14.0,
12536,(cyproterone/cyp19),,4.0,
12537,(cisplatin/p300),,0.0,
12538,(hydroxyurea/ifn-alpha),,0.0,
12539,(felodipine/cyp3a4),,19.0,
12540,(halothane/glur6),,18.0,
12541,(fluorescein/enos),,2.0,
12542,(capsaicin/cgrp1),,20.0,
12543,(fgf-7/rag-1),,8.0,
12544,(cisplatin/ctr1),,2.0,
12545,(trastuzumab/vegf),,25.0,
12546,(thymalfasin/alpha1),,14.0,
12547,(celecoxib/5-lipoxygenase),,19.0,
12548,(ofloxacin/cyp1a1),,2.0,
12549,(dexamethasone/cd40l),,26.0,
12550,(nutlin-3/hif-1alpha),,2.0,
12551,(genistein/n-myc),,4.0,
12552,(carnitine/slc22a5),,18.0,
12553,(omeprazole/tctp),,0.0,
12554,(melatonin/aromatase),,0.0,
12555,(norepinephrine/met-enkephalin),,0.0,
12556,(curcumin/prl-3),,7.0,
12557,(ccnu/cd34),,14.0,
12558,(imatinib/pdgfr),,9.0,
12559,(neomycin/inositol),,25.0,
12560,(cyclosporin/caspase-3),,2.0,
12561,(voriconazole/gamma-glutamyltransferase),,23.0,
12562,(enflurane/ml-1),,18.0,
12563,(l-tryptophan/trps1),,2.0,
12564,(valspodar/p-gp),,3.0,
12565,(pioglitazone/dpp-4),,18.0,
12566,(acitretin/stat1),,14.0,
12567,(crizotinib/abcb1),,18.0,
12568,(acitretin/stat3),,27.0,
12569,(pravastatin/rhoa),,2.0,
12570,(gw572016/egfr),,9.0,
12571,(2-methoxyestradiol/comt),,18.0,
12572,(hemin/cyp3a),,23.0,
12573,(lomefloxacin/ml-1),,14.0,
12574,(fibrates/cyp2c8),,9.0,
12575,(g-csf/flt-3),,7.0,
12576,(minocycline/vegf),,26.0,
12577,(metformin/g6pase),,12.0,
12578,(fluvastatin/nfkappab),,4.0,
12579,(melphalan/g-csf),,14.0,
12580,(gm-csf/fractalkine),,7.0,
12581,(simvastatin/bdnf),,26.0,
12582,(fluconazole/ml-1),,1.0,
12583,(ornithine/ddx1),,18.0,
12584,(indomethacin/nur77),,2.0,
12585,(curcumin/trxr1),,13.0,
12586,(lidocaine/inos),,10.0,
12587,(genistein/bcl-2),,1.0,
12588,(adenin/nicotinamide),,14.0,
12589,(troglitazone/e-cadherin),,23.0,
12590,(ara-c/bcl-2),,0.0,
12591,(dexamethasone/pedf),,23.0,
12592,(cyclosporin/p-gp),,21.0,
12593,(il-1ra/nf-kappab),,14.0,
12594,(haloperidol/snap-25),,29.0,
12595,(berberine/atf3),,14.0,
12596,(cisplatin/ppar-alpha),,23.0,
12597,(dhea/peroxiredoxin-6),,4.0,
12598,(tizanidine/cyp1a2),,14.0,
12599,(ketoconazole/cyp2c19),,22.0,
12600,(etoposide/txnip),,25.0,
12601,(formoterol/pp2a),,0.0,
12602,(l-phenylalanine/tryptophanase),,2.0,
12603,(doxapram/task-1),,9.0,
12604,(droxidopa/comt),,14.0,
12605,(g-csf/il-23),,7.0,
12606,(wr-1065/mmp-2),,5.0,
12607,(cladribine/parp),,8.0,
12608,(quinidine/cyp3a),,16.0,
12609,(azd1152/aurkb),,22.0,
12610,(ketanserin/jak2),,8.0,
12611,(adalimumab/ifn-gamma),,2.0,
12612,(cabergoline/preb),,6.0,
12613,(g-csf/il-13),,7.0,
12614,(doxorubicin/ns-1),,23.0,
12615,(carbachol/hitf),,26.0,
12616,(g-csf/il-15),,7.0,
12617,(g-csf/il-10),,0.0,
12618,(memantine/caspase-3),,9.0,
12619,(il-11/g-csf),,0.0,
12620,(g-csf/il-11),,0.0,
12621,(ciprofloxacin/ml-1),,23.0,
12622,(spermine/trna),,0.0,
12623,(dasatinib/p-gp),,23.0,
12624,(propranolol/adrb2),,18.0,
12625,(g-csf/il-17),,7.0,
12626,(isoflurane/psgl-1),,14.0,
12627,(doxycycline/fasl),,29.0,
12628,(lidocaine/cyp1a2),,18.0,
12629,(prednisolone/c5ar),,14.0,
12630,(bethanechol/leukotriene),,10.0,
12631,(ouabain/erk5),,17.0,
12632,(atazanavir/p-gp),,25.0,
12633,(taxanes/abcb5),,23.0,
12634,(estradiol/src-1),,14.0,
12635,(guanethidine/cgrp),,14.0,
12636,(amitriptyline/gat1),,9.0,
12637,(suramin/edg3),,22.0,
12638,(tolbutamide/cyp2c19),,14.0,
12639,(tolbutamide/cyp2c18),,18.0,
12640,(bleomycin/snev),,22.0,
12641,(tacrolimus/egfr),,22.0,
12642,(phenylephrine/nhe1),,29.0,
12643,(bortezomib/grp-78),,14.0,
12644,(hyaluronan/pai-1),,14.0,
12645,(tiotropium/copd),,0.0,
12646,(calcidiol/calcitonin),,18.0,
12647,(cisplatin/nfkappab),,2.0,
12648,(doxorubicin/hif-1),,20.0,
12649,(vorinostat/stat1),,2.0,
12650,(bleomycin/pcna),,14.0,
12651,(suramin/cd45),,13.0,
12652,(g-csf/il-32),,2.0,
12653,(rosiglitazone/lada),,3.0,
12654,(cisplatin/ml-1),,2.0,
12655,(capsaicin/drrs),,23.0,
12656,(dexamethasone/annexin-1),,14.0,
12657,(quinidine/cyp2d),,22.0,
12658,(chloramphenicol/e2f-1),,23.0,
12659,(curcumin/stat1),,9.0,
12660,(quinidine/cyp2a),,5.0,
12661,(curcumin/stat3),,3.0,
12662,(spironolactone/osteopontin),,2.0,
12663,(fluphenazine/calmodulin-binding),,16.0,
12664,(bortezomib/bcl-2),,27.0,
12665,(dexamethasone/anpr-c),,2.0,
12666,(aldosterone/hcn2),,23.0,
12667,(suramin/cd14),,2.0,
12668,(dexamethasone/vegf-c),,13.0,
12669,(pioglitazone/ppar-gamma),,0.0,
12670,(dexamethasone/vegf-a),,23.0,
12671,(norepinephrine/alpha1),,0.0,
12672,(fk506/ppiase),,0.0,
12673,(propofol/strabismus),,14.0,
12674,(carbachol/cox-2),,23.0,
12675,(itraconazole/mtor),,23.0,
12676,(hyaluronan/foxp3),,18.0,
12677,(lapatinib/egfr),,3.0,
12678,(sulfasalazine/fractalkine),,8.0,
12679,(cisapride/cox-2),,28.0,
12680,(aldosterone/pld2),,14.0,
12681,(dantrolene/il-10),,25.0,
12682,(carbachol/glp-1),,23.0,
12683,(tamoxifen/gpx4),,14.0,
12684,(lovastatin/survivin),,8.0,
12685,(bupivacaine/myogenin),,14.0,
12686,(bleomycin/cd73),,23.0,
12687,(cyclosporin/caln),,14.0,
12688,(gadobutrol/hccs),,14.0,
12689,(estradiol/gnrhr),,14.0,
12690,(glcnac/rnbp),,23.0,
12691,(mitoxantrone/mtor),,18.0,
12692,(tranilast/cox2),,8.0,
12693,(disulfiram/mmp-2),,5.0,
12694,(risedronate/bfgf),,10.0,
12695,(carbachol/b-50),,23.0,
12696,(noradrenaline/lhrh),,0.0,
12697,(atorvastatin/paraoxonase),,18.0,
12698,(fentanyl/cyclooxygenase-2),,22.0,
12699,(bupranolol/cyp2d6),,22.0,
12700,(desloratadine/nf-kappab),,20.0,
12701,(cyclosporin/cd154),,23.0,
12702,(raloxifene/cacl),,25.0,
12703,(loxapine/p-gp),,2.0,
12704,(staurosporine/trka),,18.0,
12705,(g-csf/cd62l),,2.0,
12706,(clopidogrel/ctni),,23.0,
12707,(curcumin/cyp1a1),,20.0,
12708,(hyaluronan/cd168),,0.0,
12709,(terbutaline/butyrylcholinesterase),,23.0,
12710,(ketamine/pars),,2.0,
12711,(curcumin/cyp1a2),,7.0,
12712,(2-methoxyestradiol/hif-1alpha),,28.0,
12713,(mecamylamine/nachr),,22.0,
12714,(terfenadine/cyp3a4),,27.0,
12715,(pge2/bfgf),,26.0,
12716,(pge2/cgrp),,27.0,
12717,(pyrilamine/octn2),,14.0,
12718,(atra/bdnf),,14.0,
12719,(dexamethasone/ve-cadherin),,2.0,
12720,(metformin/activin),,23.0,
12721,(bexarotene/ctcl),,0.0,
12722,(hydroquinone/chondromodulin-i),,2.0,
12723,(methotrexate/oatp1b1),,18.0,
12724,(glcnac/fut8),,23.0,
12725,(leuprorelin/lhrh),,0.0,
12726,(sertraline/ndrg2),,14.0,
12727,(fgf-7/mcaf),,4.0,
12728,(sorafenib/mtor),,11.0,
12729,(forskolin/aromatase),,4.0,
12730,(melatonin/g6pd),,23.0,
12731,(amoxapine/5-ht1c),,14.0,
12732,(disulfiram/cyp2e1),,11.0,
12733,(phenylpropanolamine/endo),,0.0,
12734,(probenecid/hoat1),,29.0,
12735,(amlexanox/s100a12),,13.0,
12736,(amlexanox/s100a13),,22.0,
12737,(mannitol/gm-csf),,18.0,
12738,(atra/eotaxin),,8.0,
12739,(estradiol/ampk),,10.0,
12740,(estradiol/sulfatase),,0.0,
12741,(chloramphenicol/alpha1),,18.0,
12742,(imipramine/demethylase),,27.0,
12743,(clozapine/htr2c),,2.0,
12744,(fenofibrate/atp2a2),,2.0,
12745,(trifluoperazine/ugt1a4),,16.0,
12746,(piroxicam/cyclooxygenase-2),,18.0,
12747,(trastuzumab/cdk2),,23.0,
12748,(il-2/fig1),,22.0,
12749,(piroxicam/cyclooxygenase-1),,22.0,
12750,(pabs/baff),,14.0,
12751,(buprenorphine/cyp2b6),,29.0,
12752,(l-leucine/apob),,14.0,
12753,(chlorpromazine/ml-1),,14.0,
12754,(phosphatidylserine/caga),,18.0,
12755,(abciximab/cd62p),,28.0,
12756,(meclizine/hcar),,8.0,
12757,(colchicine/wnk3),,18.0,
12758,(nimesulide/sult1a1),,14.0,
12759,(hyaluronate/ghap),,5.0,
12760,(taurine/stat3),,18.0,
12761,(sn-38/mcm2),,23.0,
12762,(dexamethasone/mmp-13),,29.0,
12763,(carvedilol/adrb1),,18.0,
12764,(liraglutide/glp-1r),,0.0,
12765,(curcumin/egr-1),,9.0,
12766,(octreotide/ho-1),,14.0,
12767,(neomycin/ryr3),,12.0,
12768,(progestogens/shbg),,14.0,
12769,(paclitaxel/ho-1),,14.0,
12770,(tacrolimus/tlr2),,20.0,
12771,(raloxifene/cd34),,2.0,
12772,(arac/nkg2d),,5.0,
12773,(collagenase/vppc),,10.0,
12774,(estradiol/hoxa10),,1.0,
12775,(forskolin/proopiomelanocortin),,26.0,
12776,(thiabendazole/msl1),,18.0,
12777,(neomycin/ryr2),,15.0,
12778,(fluorescein/niddm),,2.0,
12779,(amoxapine/ml-1),,18.0,
12780,(phenylephrine/pfk-1),,7.0,
12781,(aldosterone/bdnf),,23.0,
12782,(g-csf/socs-3),,4.0,
12783,(il-2/pi3k),,23.0,
12784,(ketanserin/il-10),,0.0,
12785,(glucosamine/heparan),,2.0,
12786,(cefepime/g-csf),,18.0,
12787,(pargyline/mao-b),,3.0,
12788,(g-csf/jak2),,18.0,
12789,(g-csf/jak3),,23.0,
12790,(g-csf/jak1),,18.0,
12791,(rapamycin/ampk),,27.0,
12792,(suramin/spc3),,23.0,
12793,(pranlukast/il-5),,4.0,
12794,(ketotifen/beta-glucuronidase),,2.0,
12795,(chloramphenicol/ifn-gamma),,6.0,
12796,(perindopril/cd11b),,18.0,
12797,(abciximab/il-13),,1.0,
12798,(levodopa/ap-1),,23.0,
12799,(melatonin/creb),,5.0,
12800,(l-tyrosine/lat1),,23.0,
12801,(collagenase/mt1-mmp),,2.0,
12802,(genistein/p42mapk),,23.0,
12803,(paclitaxel/s100p),,14.0,
12804,(pargyline/mao-a),,6.0,
12805,(desferrioxamine/hamp),,8.0,
12806,(forskolin/gastrin),,18.0,
12807,(amikacin/nachr),,14.0,
12808,(doxycycline/mcp-1),,8.0,
12809,(gemcitabine/cltb),,2.0,
12810,(fluconazole/cyp51),,14.0,
12811,(dextran/atg16l1),,14.0,
12812,(nimesulide/sult1e1),,23.0,
12813,(forskolin/sst3),,4.0,
12814,(alendronate/ca-125),,28.0,
12815,(metformin/bambi),,8.0,
12816,(pazopanib/ptprot),,23.0,
12817,(cis-diaminedichloroplatinum/atp7a),,2.0,
12818,(prednisolone/amyloidosis),,6.0,
12819,(rapamycin/raptor),,7.0,
12820,(pge2/afgf),,2.0,
12821,(aldosterone/visfatin),,2.0,
12822,(dexamethasone/mct1),,14.0,
12823,(citalopram/5-ht2c),,18.0,
12824,(doxycycline/sf-1),,18.0,
12825,(secretin/neurod),,14.0,
12826,(cephalexin/clcr),,16.0,
12827,(dexamethasone/5-htt),,2.0,
12828,(dextran/ml-1),,14.0,
12829,(cltc/tpm4),,2.0,
12830,(rosiglitazone/mcp1),,28.0,
12831,(calcitriol/aromatase),,1.0,
12832,(cltc/tpm3),,23.0,
12833,(guanidine/alpha-amylase),,2.0,
12834,(ciprofloxacin/cyp3a),,0.0,
12835,(sulindac/ikappabalpha),,23.0,
12836,(rituximab/hsp90),,3.0,
12837,(rc-160/sstr1),,23.0,
12838,(ouabain/prot),,2.0,
12839,(ketoconazole/p-gp),,19.0,
12840,(doxorubicin/abcg2),,23.0,
12841,(staurosporine/cx43),,8.0,
12842,(naloxone/hk-1),,13.0,
12843,(rapamycin/mnadp-idh),,23.0,
12844,(mitomycin/hc11),,14.0,
12845,(suramin/tgfa),,18.0,
12846,(hyaluronan/habp1),,0.0,
12847,(hyaluronan/habp2),,8.0,
12848,(raloxifene/osteocalcin),,18.0,
12849,(azacytidine/cox-2),,14.0,
12850,(flavo/mthfr),,2.0,
12851,(methotrexate/sp-d),,23.0,
12852,(griseofulvin/gita),,18.0,
12853,(chlorpromazine/5-ht2c),,18.0,
12854,(carrageenan/nfkappab),,23.0,
12855,(cerivastatin/enos),,0.0,
12856,(prednisolone/mucin),,2.0,
12857,(fluoxetine/cyp2c19),,22.0,
12858,(analgesics/nachr),,10.0,
12859,(ouabain/proc),,14.0,
12860,(glibenclamide/nppb),,2.0,
12861,(d-sorbitol/acy1),,2.0,
12862,(cisplatin/trpv1),,17.0,
12863,(guanethidine/beta-endorphin),,0.0,
12864,(salmeterol/mucin),,14.0,
12865,(amitriptyline/fgf-2),,2.0,
12866,(fk506/endothelin-1),,18.0,
12867,(propranolol/il-1),,18.0,
12868,(hydrocortisone/timp-2),,6.0,
12869,(topotecan/trail-r2),,2.0,
12870,(imatinib/crkl),,2.0,
12871,(cs-747/p2y12),,6.0,
12872,(dantrolene/glut4),,23.0,
12873,(asparaginase/leukotriene),,23.0,
12874,(doxorubicin/nox2),,18.0,
12875,(fasudil/hsp27),,2.0,
12876,(hydrocortisone/mst-2),,23.0,
12877,(buspirone/5ht1a),,24.0,
12878,(medroxyprogesterone/shbg),,1.0,
12879,(verapamil/mmp-2),,8.0,
12880,(fenofibrate/clc-1),,18.0,
12881,(bupivacaine/cyp3a4),,23.0,
12882,(norepinephrine/aicar),,10.0,
12883,(mitomycin/4-1bb),,24.0,
12884,(5-iododeoxyuridine/c-type),,10.0,
12885,(levodopa/nmdar1),,23.0,
12886,(methotrexate/pcna),,29.0,
12887,(hesperetin/herg),,18.0,
12888,(loratadine/cyp1a2),,20.0,
12889,(g-csf/ngal),,4.0,
12890,(fexofenadine/tarc),,23.0,
12891,(forskolin/dot1),,14.0,
12892,(disulfiram/cyp2a6),,17.0,
12893,(actd/bcl-xl),,27.0,
12894,(digoxin/oatp1b1),,28.0,
12895,(estradiol/ptgs2),,14.0,
12896,(phosphatidylserine/mg53),,23.0,
12897,(donepezil/butyrylcholinesterase),,3.0,
12898,(tacrolimus/il-33),,2.0,
12899,(betaine/prot),,2.0,
12900,(menadione/ggcx),,11.0,
12901,(indomethacin/timp),,3.0,
12902,(bleomycin/ifn-alpha),,14.0,
12903,(amsacrine/bcl-x),,4.0,
12904,(melatonin/mtnr1b),,24.0,
12905,(n-acetylcysteine/b7-1),,23.0,
12906,(capecitabine/her2),,0.0,
12907,(glucosamine/mcp-1),,4.0,
12908,(melatonin/mtnr1a),,0.0,
12909,(betaine/prox),,0.0,
12910,(digoxin/oatp1a2),,28.0,
12911,(metformin/hmgb1),,23.0,
12912,(flecainide/cyp2d6),,9.0,
12913,(ticlopidine/cyp2c19),,3.0,
12914,(cyclosporin/mdr1),,19.0,
12915,(yohimbine/alpha1),,14.0,
12916,(cisplatin/fadd),,2.0,
12917,(propiconazole/cyp51),,12.0,
12918,(l-leucine/pat3),,18.0,
12919,(etoposide/p33ing2),,4.0,
12920,(propiconazole/cyp2b),,4.0,
12921,(melatonin/somatomedin-c),,18.0,
12922,(anagrelide/ifn-alpha),,29.0,
12923,(amd3100/gtp-binding),,29.0,
12924,(amodiaquine/cyp2c8),,16.0,
12925,(methacholine/aqp5),,2.0,
12926,(chloroquine/beclin1),,23.0,
12927,(zoledronate/rankl),,18.0,
12928,(troglitazone/madcam-1),,14.0,
12929,(lornoxicam/cyp2c9),,16.0,
12930,(dexamethasone/rhes),,4.0,
12931,(doxorubicin/tp53),,25.0,
12932,(ru486/fam110c),,9.0,
12933,(tacrolimus/il-10),,18.0,
12934,(doxorubicin/bcl-xl),,18.0,
12935,(diethylstilbestrol/uteroglobin),,18.0,
12936,(alvespimycin/hsp90),,22.0,
12937,(bezafibrate/pparalpha),,0.0,
12938,(valspodar/mdr1),,28.0,
12939,(pge2/beta-endorphin),,14.0,
12940,(resveratrol/ckii),,20.0,
12941,(norepinephrine/phospholipase),,10.0,
12942,(tacrolimus/il-18),,14.0,
12943,(tacrolimus/il-17),,4.0,
12944,(melphalan/lyc5),,0.0,
12945,(17-beta/mrp1),,23.0,
12946,(bisphosphonate/ap-n),,18.0,
12947,(betaine/ho-1),,6.0,
12948,(pentoxifylline/copd),,18.0,
12949,(propranolol/herg),,24.0,
12950,(clarithromycin/il-1),,25.0,
12951,(dexamethasone/rhoa),,4.0,
12952,(dibucaine/phospholipase),,22.0,
12953,(fibrates/cyp3a4),,18.0,
12954,(diethylstilbestrol/trpc5),,9.0,
12955,(digoxin/mdr1),,18.0,
12956,(il-2/hla-a),,23.0,
12957,(bicalutamide/her2),,8.0,
12958,(pyrazinamide/nicotinamide),,0.0,
12959,(dasatinib/cd25),,18.0,
12960,(etanercept/amyloidosis),,18.0,
12961,(bleomycin/p-gp),,6.0,
12962,(nimodipine/nnos),,14.0,
12963,(tobramycin/phospholipase),,3.0,
12964,(risperidone/bcl-2),,4.0,
12965,(hyaluronan/osteocalcin),,14.0,
12966,(amitriptyline/bdnf),,23.0,
12967,(lamotrigine/ml-1),,14.0,
12968,(nifedipine/dhps),,2.0,
12969,(resveratrol/pkm2),,16.0,
12970,(dhea/resistin),,2.0,
12971,(nifedipine/dhpr),,3.0,
12972,(estradiol/igf2),,2.0,
12973,(captopril/sar1),,0.0,
12974,(estradiol/igf1),,23.0,
12975,(ru486/irs-2),,2.0,
12976,(pge2/il-1),,0.0,
12977,(g-csf/u-pa),,2.0,
12978,(chlorzoxazone/inos),,14.0,
12979,(minocycline/enos),,3.0,
12980,(pge2/il-5),,7.0,
12981,(memantine/cholinesterase),,1.0,
12982,(pramipexole/oct2),,2.0,
12983,(nateglinide/mct1),,14.0,
12984,(melatonin/cry1),,8.0,
12985,(diltiazem/traak),,23.0,
12986,(imipramine/ml-1),,14.0,
12987,(chlorzoxazone/cyp1b1),,14.0,
12988,(cisplatin/cited2),,18.0,
12989,(glucosamine/pdcl2),,2.0,
12990,(2-cda/il-1ra),,18.0,
12991,(fentanyl/cyp3a),,18.0,
12992,(isoproterenol/stat3),,14.0,
12993,(pilocarpine/pon1),,2.0,
12994,(dexamethasone/tbetar-i),,7.0,
12995,(ropivacaine/ml-1),,29.0,
12996,(methylprednisolone/abpa),,22.0,
12997,(indomethacin/mmp-13),,23.0,
12998,(sitaxentan/etra),,22.0,
12999,(deoxyadenosine/trna),,0.0,
13000,(il-2/tlr4),,10.0,
13001,(apomorphine/gad65),,23.0,
13002,(roxithromycin/ets-1),,18.0,
13003,(isoflurane/vegf),,14.0,
13004,(nelfinavir/vegf),,26.0,
13005,(aldosterone/plzf),,23.0,
13006,(verapamil/gastrin),,0.0,
13007,(lamotrigine/5-ht1a),,18.0,
13008,(zidovudine/ugt2b7),,19.0,
13009,(ampicillin/acylase),,14.0,
13010,(staurosporine/livin),,18.0,
13011,(cilazapril/tyk2),,23.0,
13012,(hydroxyurea/mdr1),,23.0,
13013,(dexamethasone/bcl-2),,14.0,
13014,(genistein/nkcc1),,10.0,
13015,(il-1ra/tnf-r1),,22.0,
13016,(hydrocortisone/ifn-r),,24.0,
13017,(melatonin/hsp27),,10.0,
13018,(cetuximab/ereg),,24.0,
13019,(metformin/shbg),,1.0,
13020,(dasatinib/cd34),,2.0,
13021,(para-aminohippurate/oat1),,14.0,
13022,(terbinafine/erg1),,18.0,
13023,(aminopterin/dhfr),,22.0,
13024,(n-acetylcysteine/npip),,18.0,
13025,(hesperetin/calmodulin),,9.0,
13026,(colchicine/amyloidosis),,0.0,
13027,(corticosteroids/phospholipase),,14.0,
13028,(pegfilgrastim/icer),,23.0,
13029,(urokinase/uparap),,0.0,
13030,(carbamazepine/nicotinamide),,14.0,
13031,(flunarizine/beta-lph),,14.0,
13032,(nifedipine/agas),,18.0,
13033,(paclitaxel/yb-1),,3.0,
13034,(irinotecan/k-ras),,2.0,
13035,(dexamethasone/irs-1),,2.0,
13036,(fluoxetine/wnt3a),,24.0,
13037,(flunitrazepam/pla2),,2.0,
13038,(il-2/beta2ar),,18.0,
13039,(dexamethasone/bcl-x),,4.0,
13040,(il-2/rantes),,0.0,
